종목명,티커,당일종가,전날종가,변화량,변화율(%),PER,PER_해석,PBR,PBR_해석,ROE,ROE_해석,Debt/Equity,Debt/Equity_해석,Dividend Yield,배당률_해석,Profit Margin,이익률_해석,Forward PE,Forward PE_해석,52주 변화율,52주 해석,RSI,RSI_해석,5일 이평선,5일 이평선_해석,20일 이평선,20일 이평선_해석,거래량,시가총액,지표명,코드,날짜,값,빈칸1,빈칸2,빈칸3,빈칸4,빈칸5,빈칸6,빈칸7,빈칸8,빈칸9,빈칸10,빈칸11,빈칸12,빈칸13,빈칸14,빈칸15,빈칸16,빈칸17,빈칸18,빈칸19,빈칸20,빈칸21,빈칸22,빈칸23,빈칸24,빈칸25,빈칸26,단위
삼성전자,005930.KS,56200.0,56100.0,100.0,0.18,10.89,중립,0.95,매수,0.09228,매수,2.741,매수,2.58,중립,0.113690004,중립,9.365739,매수,-0.23673469,매도,41.46,중립,55360.00 (매수),매수,55645.00 (중립),중립,26219683,369.7조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK하이닉스,000660.KS,204500.0,212000.0,-7500.0,-3.54,5.73,매수,1.73,중립,0.37954,매도,31.906,매수,1.11,중립,0.36380002,매수,4.6001086,매수,0.12050736,중립,58.61,중립,205778.79 (중립),중립,198079.86 (매수),매수,4826628,146.4조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG에너지솔루션,373220.KS,286000.0,288000.0,-2000.0,-0.69,수집 실패,해석불가,3.16,매도,0.012180001,매수,56.323,중립,수집 실패,해석불가,-0.04519,매도,40.859695,매도,-0.12990934,매도,31.02,중립,282700.00 (매수),매수,298100.00 (매도),매도,224384,66.9조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성바이오로직스,207940.KS,1032000.0,1026000.0,6000.0,0.58,57.41,매도,6.51,매도,0.12020001,중립,12.584,매수,수집 실패,해석불가,0.26119,매수,44.259552,매도,0.40547943,매수,57.79,중립,1031000.00 (중립),중립,1032800.00 (중립),중립,116149,73.5조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성물산,005935.KS,46100.0,46150.0,-50.0,-0.11,8.93,매수,0.78,매수,0.09228,매수,2.741,매수,3.14,매수,0.113690004,중립,8.329,매수,-0.23466003,매도,38.26,중립,45470.00 (매수),매수,45977.50 (중립),중립,3537981,369.7조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대차,005380.KS,185300.0,191000.0,-5700.0,-2.98,4.04,매수,0.44,매수,0.11689,중립,130.144,중립,6.54,매수,0.06958,중립,3.7113025,매수,-0.24505931,매도,39.98,중립,183721.51 (중립),중립,186597.88 (중립),중립,781444,47.4조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기아,000270.KS,89400.0,93200.0,-3800.0,-4.08,3.81,매수,0.63,매수,0.18119,중립,5.497,매수,7.27,매수,0.08565,중립,3.6338403,매수,-0.20815635,매도,42.27,중립,89580.00 (중립),중립,90240.00 (중립),중립,1535385,36.9조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSCO홀딩스,005490.KS,250000.0,254500.0,-4500.0,-1.77,24.30,중립,0.34,매수,0.01121,매수,45.583,매수,3.93,매수,0.011879999,매도,9.80066,매수,-0.3102981,매도,41.59,중립,246000.00 (매수),매수,247850.73 (중립),중립,441162,18.9조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG화학,035420.KS,187500.0,189300.0,-1800.0,-0.95,16.37,중립,1.06,중립,0.06847,매수,15.712,매수,0.6,매수,0.16707,매수,13.563479,중립,0.11222088,중립,45.42,중립,187260.00 (중립),중립,189055.00 (중립),중립,989028,28.3조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVER,035720.KS,42700.0,44000.0,-1300.0,-2.95,123.41,매도,1.80,중립,-0.00206,매수,28.667,매수,0.16,매수,0.0198,매도,38.172985,매도,0.01616633,중립,69.66,중립,41670.00 (매수),매수,38535.00 (매수),매수,3539065,18.7조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
